title,categories,manufacturer,brand,category_code,brand01,title_clean,categories_clean,manufacturer_clean,brand_clean,category_code_clean,brand01_clean,max_match_score
"Canon 2973B004 PG-210 XL and CL-211 XL Ink and Glossy Photo Paper Combo Pack, Compatible to MP495,MP280,MP490,MP480,MP270,MP240, MX420,MX410,MX350,MX340 and MX330","[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printer Parts & Accessories"",""Printer Ink & Toner"",""Inkjet Ink Cartridges""]",‎Canon Ink,Canon,,,canon 2973b004 pg 210 xl and cl 211 xl ink and glossy photo paper combo pack  compatible to mp495 mp280 mp490 mp480 mp270 mp240  mx420 mx410 mx350 mx340 and mx330,office products office electronics printers   accessories printer parts   accessories printer ink   toner inkjet ink cartridges,canon ink,canon,,,70.0
"Tervis Travel Lid, 10 oz, Black","[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Drinkware""]",Tervis,Tervis,,,tervis travel lid  10 oz  black,health   household household supplies paper   plastic disposable drinkware,tervis,tervis,,,70.0
"Lenox Diemaster 2 Vari-Raker Band Saw Blade, Bimetal, Regular Tooth, Raker Set, Positive Rake, 178.5"" Length, 1/2"" Width, 0.025"" Thick, 8-12 TPI","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Saw Blades, Parts & Accessories"",""Blades"",""Band Saw Blades""]","LENOX, Newell Rubbermaid",Lenox,,,lenox diemaster 2 vari raker band saw blade  bimetal  regular tooth  raker set  positive rake  178 5  length  1 2  width  0 025  thick  8 12 tpi,tools   home improvement power   hand tools power tool parts   accessories saw blades  parts   accessories blades band saw blades,lenox  newell rubbermaid,lenox,,,70.0
RUSPEPA Red Tissue Paper Gift Wrapping Tissue Paper for Party Decor Gift Wrap DIY Crafts - 19.5 x 27.5 inch - 25 Sheet,"[""Arts, Crafts & Sewing"",""Crafting"",""Paper & Paper Crafts"",""Paper"",""Art Tissue & Crepe Paper""]",RUSPEPA,RUSPEPA,,,ruspepa red tissue paper gift wrapping tissue paper for party decor gift wrap diy crafts   19 5 x 27 5 inch   25 sheet,arts  crafts   sewing crafting paper   paper crafts paper art tissue   crepe paper,ruspepa,ruspepa,,,70.58823529411764
"Paper Placemat Disposable, Gold Place Mats with Scalloped Edges, Durable Paper Placemat for Holiday Wedding Party Supplies Decor, 9.75 X 14 Inches, Pack of 50 - by SparkSettings","[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen & Table Linens"",""Place Mats""]",SparkSettings,SparkSettings,,,paper placemat disposable  gold place mats with scalloped edges  durable paper placemat for holiday wedding party supplies decor  9 75 x 14 inches  pack of 50   by sparksettings,home   kitchen kitchen   dining kitchen   table linens place mats,sparksettings,sparksettings,,,70.0
"POWERTEC 6 Inch Jointer Blades for Delta 37-190 37-195 37-205 37-220 37-275X, JET JJ-6CS Jointer, Replacement for Delta 37-658, JET 708457K Jointer Knives, Set of 3 (14803)","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Saw Blades, Parts & Accessories"",""Blades"",""Jointer Knives""]",POWERTEC,POWERTEC,,,powertec 6 inch jointer blades for delta 37 190 37 195 37 205 37 220 37 275x  jet jj 6cs jointer  replacement for delta 37 658  jet 708457k jointer knives  set of 3  14803,tools   home improvement power   hand tools power tool parts   accessories saw blades  parts   accessories blades jointer knives,powertec,powertec,,,70.0
"12 Pack Notebook Journals for Travelers, Students and Office, Writing Sketchbook Memo Diary Subject Notebooks Planner with Blank Paper, 60 Pages, 30 Sheets, 8.3x5.5 inch, A5 Size, Travel Journal Set","[""Office Products"",""Office & School Supplies"",""Paper"",""Notebooks & Writing Pads"",""Subject Notebooks""]",XYark,XYark,,,12 pack notebook journals for travelers  students and office  writing sketchbook memo diary subject notebooks planner with blank paper  60 pages  30 sheets  8 3x5 5 inch  a5 size  travel journal set,office products office   school supplies paper notebooks   writing pads subject notebooks,xyark,xyark,,,70.0
"Poetic Spartan Samsung Galaxy S21+ Plus 5G 6.7"" Case, Fingerprint ID Compatible, Shockproof Protective Cover, Kickstand, Metallic Gun Metal","[""Cell Phones & Accessories"",""Cases, Holsters & Sleeves"",""Basic Cases""]",Poetic,Poetic,,,poetic spartan samsung galaxy s21  plus 5g 6 7  case  fingerprint id compatible  shockproof protective cover  kickstand  metallic gun metal,cell phones   accessories cases  holsters   sleeves basic cases,poetic,poetic,,,70.0
"Trend Airshield Pro 120-Volt Replacement Battery Charger, Charging Cable, Power Cable, AIR/P/5L","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Battery Packs & Chargers"",""Charger & Converters"",""Battery Chargers""]",Trend,Trend,,,trend airshield pro 120 volt replacement battery charger  charging cable  power cable  air p 5l,tools   home improvement power   hand tools power tool parts   accessories battery packs   chargers charger   converters battery chargers,trend,trend,,,70.0
"Vearter Cut Off Wheels 4-1/2 Inch - Diamond Metal Cutting Disc for Angle Grinder,Suitable for Stainless Steel, Cast Iron, Aluminum, Brass, Metal Cutting, can Cut More Than 4000 Times","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Rotary Tool Parts & Accessories"",""Cutting Wheels""]",Vearter,Vearter,,,vearter cut off wheels 4 1 2 inch   diamond metal cutting disc for angle grinder suitable for stainless steel  cast iron  aluminum  brass  metal cutting  can cut more than 4000 times,tools   home improvement power   hand tools power tool parts   accessories power rotary tool parts   accessories cutting wheels,vearter,vearter,,,70.0
